record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
1,Yes,Afghanistan,South Asia,postpaid,1.8,1.8,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
2,Yes,Afghanistan,South Asia,prepaid,1.8,1.8,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
3,Yes,Alaska,North America,postpaid,0.5,0.5,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
4,Yes,Alaska,North America,prepaid,0.5,0.5,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
5,Yes,Albania,Europe,postpaid,4.5,1.8,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
6,Yes,Albania,Europe,prepaid,4.5,1.8,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
7,Yes,Algeria,Africa,postpaid,3.9,3.9,0.38,,https://www.yes.my/roaming/,2026-05-18T02:45:50
8,Yes,Algeria,Africa,prepaid,3.9,3.9,0.38,,https://www.yes.my/roaming/,2026-05-18T02:45:50
9,Yes,American Samoa,Oceania,postpaid,6.15,6.15,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
10,Yes,American Samoa,Oceania,prepaid,6.15,6.15,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
11,Yes,Andorra,Europe,postpaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
12,Yes,Andorra,Europe,prepaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
13,Yes,Angola,Africa,postpaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
14,Yes,Angola,Africa,prepaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
15,Yes,Anguilla,Caribbean,postpaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
16,Yes,Anguilla,Caribbean,prepaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
17,Yes,Antarctica,Other,postpaid,10.1,10.1,,,https://www.yes.my/roaming/,2026-05-18T02:45:50
18,Yes,Antarctica,Other,prepaid,10.1,10.1,,,https://www.yes.my/roaming/,2026-05-18T02:45:50
19,Yes,Antigua and Barbuda,Caribbean,postpaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
20,Yes,Antigua and Barbuda,Caribbean,prepaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
21,Yes,Argentina,South America,postpaid,1.8,1.8,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
22,Yes,Argentina,South America,prepaid,1.8,1.8,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
23,Yes,Armenia,Caucasus,postpaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
24,Yes,Armenia,Caucasus,prepaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
25,Yes,Aruba,Caribbean,postpaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
26,Yes,Aruba,Caribbean,prepaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
27,Yes,Ascension Island,Africa,postpaid,8.5,8.5,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
28,Yes,Ascension Island,Africa,prepaid,8.5,8.5,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
29,Yes,Australia,Oceania,postpaid,0.75,0.75,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
30,Yes,Australia,Oceania,prepaid,0.75,0.75,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
31,Yes,Austria,Europe,postpaid,2.38,2.38,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
32,Yes,Austria,Europe,prepaid,2.38,2.38,0.48,,https://www.yes.my/roaming/,2026-05-18T02:45:50
33,Yes,Azerbaijan,Caucasus,postpaid,2.2,2.2,0.28,,https://www.yes.my/roaming/,2026-05-18T02:45:50
