record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
1,Tune Talk,Afghanistan,South Asia,prepaid,0.75,2.28,,93,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
2,Tune Talk,Afghanistan,South Asia,postpaid,0.75,2.28,,93,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
3,Tune Talk,Alaska,Other,prepaid,0.58,0.58,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
4,Tune Talk,Alaska,Other,postpaid,0.58,0.58,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
5,Tune Talk,Albania,Other,prepaid,2.88,2.28,,355,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
6,Tune Talk,Albania,Other,postpaid,2.88,2.28,,355,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
7,Tune Talk,Algeria,Africa,prepaid,3.88,2.28,,213,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
8,Tune Talk,Algeria,Africa,postpaid,3.88,2.28,,213,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
9,Tune Talk,American Samoa,Other,prepaid,0.48,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
10,Tune Talk,American Samoa,Other,postpaid,0.48,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
11,Tune Talk,Andorra,Other,prepaid,0.28,2.28,,376,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
12,Tune Talk,Andorra,Other,postpaid,0.28,2.28,,376,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
13,Tune Talk,Angola,Other,prepaid,1.25,2.28,,244,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
14,Tune Talk,Angola,Other,postpaid,1.25,2.28,,244,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
15,Tune Talk,Anguilla,Other,prepaid,0.48,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
16,Tune Talk,Anguilla,Other,postpaid,0.48,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
17,Tune Talk,Antigua & Barbuda,Other,prepaid,1.25,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
18,Tune Talk,Antigua & Barbuda,Other,postpaid,1.25,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
19,Tune Talk,Argentina,South America,prepaid,0.75,2.28,,54,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
20,Tune Talk,Argentina,South America,postpaid,0.75,2.28,,54,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
21,Tune Talk,Armenia,Other,prepaid,0.75,2.28,,374,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
22,Tune Talk,Armenia,Other,postpaid,0.75,2.28,,374,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
23,Tune Talk,Aruba,Other,prepaid,0.28,2.28,,297,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
24,Tune Talk,Aruba,Other,postpaid,0.28,2.28,,297,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
25,Tune Talk,Ascension Island,Other,prepaid,0.48,5.88,,247,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
26,Tune Talk,Ascension Island,Other,postpaid,0.48,5.88,,247,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
27,Tune Talk,Australia,Oceania,prepaid,0.88,0.18,,61,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
28,Tune Talk,Australia,Oceania,postpaid,0.88,0.18,,61,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
29,Tune Talk,Australian Territories,Oceania,prepaid,15.0,15.0,,672,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
30,Tune Talk,Australian Territories,Oceania,postpaid,15.0,15.0,,672,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
31,Tune Talk,Austria,Europe,prepaid,0.75,2.28,,43,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
32,Tune Talk,Austria,Europe,postpaid,0.75,2.28,,43,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
33,Tune Talk,Azerbaijan,Other,prepaid,0.75,2.28,,994,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
34,Tune Talk,Azerbaijan,Other,postpaid,0.75,2.28,,994,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
35,Tune Talk,Azores,Other,prepaid,0.48,0.48,,351,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
36,Tune Talk,Azores,Other,postpaid,0.48,0.48,,351,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
37,Tune Talk,Bahamas,Other,prepaid,2.28,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
38,Tune Talk,Bahamas,Other,postpaid,2.28,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
39,Tune Talk,Bahrain,Middle East,prepaid,0.75,2.28,,973,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
40,Tune Talk,Bahrain,Middle East,postpaid,0.75,2.28,,973,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
41,Tune Talk,Bangladesh,South Asia,prepaid,0.28,0.12,,880,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
42,Tune Talk,Bangladesh,South Asia,postpaid,0.28,0.12,,880,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
43,Tune Talk,Barbados,Other,prepaid,0.28,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
44,Tune Talk,Barbados,Other,postpaid,0.28,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
45,Tune Talk,Belarus,Other,prepaid,0.75,5.98,,375,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
46,Tune Talk,Belarus,Other,postpaid,0.75,5.98,,375,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
47,Tune Talk,Belgium,Europe,prepaid,0.75,3.88,,32,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
48,Tune Talk,Belgium,Europe,postpaid,0.75,3.88,,32,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
49,Tune Talk,Belize,Other,prepaid,0.35,2.28,,501,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
50,Tune Talk,Belize,Other,postpaid,0.35,2.28,,501,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
51,Tune Talk,Benin,Other,prepaid,0.35,2.28,,229,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
52,Tune Talk,Benin,Other,postpaid,0.35,2.28,,229,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
53,Tune Talk,Bermuda,Other,prepaid,0.75,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
54,Tune Talk,Bermuda,Other,postpaid,0.75,2.28,,1,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
55,Tune Talk,Bhutan,Other,prepaid,0.75,2.28,,975,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
56,Tune Talk,Bhutan,Other,postpaid,0.75,2.28,,975,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
57,Tune Talk,Bolivia,Other,prepaid,0.75,2.28,,591,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
58,Tune Talk,Bolivia,Other,postpaid,0.75,2.28,,591,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
59,Tune Talk,Bosnia Herzegovina,Other,prepaid,3.88,2.28,,387,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
60,Tune Talk,Bosnia Herzegovina,Other,postpaid,3.88,2.28,,387,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
61,Tune Talk,Botswana,Other,prepaid,0.75,2.28,,267,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
62,Tune Talk,Botswana,Other,postpaid,0.75,2.28,,267,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
