record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
1,U Mobile,Afghanistan,South Asia,prepaid,2.38,2.38,0.35,93.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2,U Mobile,Afghanistan,South Asia,postpaid,2.38,2.38,0.35,93.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
3,U Mobile,Albania,Europe,prepaid,2.38,2.38,0.35,355.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
4,U Mobile,Albania,Europe,postpaid,2.38,2.38,0.35,355.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
5,U Mobile,Algeria,Africa,prepaid,2.38,2.38,0.35,213.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
6,U Mobile,Algeria,Africa,postpaid,2.38,2.38,0.35,213.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
7,U Mobile,American Samoa,Oceania,prepaid,1.38,1.38,0.35,1684.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
8,U Mobile,American Samoa,Oceania,postpaid,1.38,1.38,0.35,1684.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
9,U Mobile,Andorra,Other,prepaid,3.38,3.38,0.35,376.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
10,U Mobile,Andorra,Other,postpaid,3.38,3.38,0.35,376.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
11,U Mobile,Angola,Other,prepaid,3.38,3.38,0.35,244.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
12,U Mobile,Angola,Other,postpaid,3.38,3.38,0.35,244.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
13,U Mobile,Anguilla,Other,prepaid,3.38,3.38,0.35,1264.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
14,U Mobile,Anguilla,Other,postpaid,3.38,3.38,0.35,1264.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
15,U Mobile,Antarctica,Other,prepaid,16.0,16.0,0.35,672.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
16,U Mobile,Antarctica,Other,postpaid,16.0,16.0,0.35,672.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
17,U Mobile,Antigua and Barbuda,Other,prepaid,,,0.35,,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
18,U Mobile,Antigua and Barbuda,Other,postpaid,,,0.35,,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
19,U Mobile,Argentina,South America,prepaid,,,0.35,54.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
