brand,country,country_slug,plan_type,countryCode,callRateFixed,callRateMobile,smsRate,sms_rate_myr,source_url
Yes,Afghanistan,afghanistan,prepaid,93,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Afghanistan,afghanistan,postpaid,93,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Albania,albania,prepaid,355,1.80,4.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Albania,albania,postpaid,355,1.80,4.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Algeria,algeria,prepaid,213,3.90,3.90,0.38,0.38,https://www.yes.my/roaming/
Yes,Algeria,algeria,postpaid,213,3.90,3.90,0.38,0.38,https://www.yes.my/roaming/
Yes,American Samoa,american-samoa,prepaid,1684,6.15,6.15,0.48,0.48,https://www.yes.my/roaming/
Yes,American Samoa,american-samoa,postpaid,1684,6.15,6.15,0.48,0.48,https://www.yes.my/roaming/
Yes,Andorra,andorra,prepaid,376,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Andorra,andorra,postpaid,376,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Angola,angola,prepaid,244,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Angola,angola,postpaid,244,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Anguilla,anguilla,prepaid,1264,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Anguilla,anguilla,postpaid,1264,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Antarctica,antarctica,prepaid,6721,10.10,10.10,,,https://www.yes.my/roaming/
Yes,Antarctica,antarctica,postpaid,6721,10.10,10.10,,,https://www.yes.my/roaming/
Yes,Antigua & Barbuda,antigua-barbuda,prepaid,1268,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Antigua & Barbuda,antigua-barbuda,postpaid,1268,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Argentina,argentina,prepaid,54,1.80,1.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Argentina,argentina,postpaid,54,1.80,1.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Armenia,armenia,prepaid,374,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Armenia,armenia,postpaid,374,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
