record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
1,CelcomDigi,Afghanistan,South Asia,roaming,6.0,7.0,1.0,93,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
2,CelcomDigi,Albania,Other,roaming,6.0,11.0,1.0,355,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
3,CelcomDigi,Algeria,Other,roaming,,,,213,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
4,CelcomDigi,Angola,Other,roaming,,,,244,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
5,CelcomDigi,Anguilla,Other,roaming,6.0,11.0,1.0,1264,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
6,CelcomDigi,Antigua and Barbuda,Other,roaming,6.0,11.0,1.0,1268,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
7,CelcomDigi,Argentina,South America,roaming,6.0,11.0,1.0,54,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
8,CelcomDigi,Armenia,Other,roaming,6.0,7.0,1.0,374,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
9,CelcomDigi,Aruba,Other,roaming,6.0,11.0,1.0,297,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
10,CelcomDigi,Australia,Oceania,roaming,6.0,7.0,1.0,61,,False,to_other=8.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
11,CelcomDigi,Austria,Europe,roaming,6.0,11.0,1.0,43,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
12,CelcomDigi,Azerbaijan,Other,roaming,6.0,7.0,1.0,994,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
13,CelcomDigi,Bahamas,Other,roaming,,,,1242,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
14,CelcomDigi,Bahrain,Middle East,roaming,6.0,11.0,1.0,973,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
15,CelcomDigi,Bangladesh,South Asia,roaming,6.0,7.0,1.0,880,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
16,CelcomDigi,Barbados,Other,roaming,6.0,11.0,1.0,1246,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
17,CelcomDigi,Belarus,Other,roaming,6.0,11.0,1.0,375,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
18,CelcomDigi,Belgium,Europe,roaming,6.0,11.0,1.0,32,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
19,CelcomDigi,Benin,Other,roaming,,,,229,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
20,CelcomDigi,Bermuda & West Indies,Other,roaming,6.0,11.0,1.0,1441,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
21,CelcomDigi,Bhutan,Other,roaming,6.0,7.0,1.0,975,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
22,CelcomDigi,Bolivia,Other,roaming,,,,591,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
23,CelcomDigi,Bonaire and Saint Eustatius,Other,roaming,6.0,11.0,1.0,599,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
24,CelcomDigi,Bosnia and Herzegovina,Other,roaming,6.0,11.0,1.0,387,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
25,CelcomDigi,Botswana,Other,roaming,,,,267,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
26,CelcomDigi,Brazil,South America,roaming,6.0,11.0,1.0,55,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
27,CelcomDigi,British Virgin Islands,Other,roaming,6.0,11.0,1.0,1284,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
28,CelcomDigi,Brunei Darussalam,Southeast Asia,roaming,6.0,7.0,1.0,673,,False,to_other=8.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
29,CelcomDigi,Bulgaria,Other,roaming,6.0,11.0,1.0,359,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
30,CelcomDigi,Burkina Faso,Other,roaming,,,,226,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
31,CelcomDigi,Burundi,Other,roaming,,,,257,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
32,CelcomDigi,Cambodia,Southeast Asia,roaming,6.0,7.0,1.0,855,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
33,CelcomDigi,Cameroon,Other,roaming,,,,237,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
