record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
1,Hotlink,Afghanistan,South Asia,prepaid,,,,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
2,Hotlink,Afghanistan,South Asia,postpaid,,,,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
3,Hotlink,Albania,Europe,prepaid,3.0,3.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
4,Hotlink,Albania,Europe,postpaid,3.6,3.6,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
5,Hotlink,Algeria,Africa,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
6,Hotlink,Algeria,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
7,Hotlink,American Samoa,Oceania,prepaid,0.99,0.99,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
8,Hotlink,American Samoa,Oceania,postpaid,6.0,6.0,0.5,IDD 132: RM1.14/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
9,Hotlink,Andorra,Europe,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
10,Hotlink,Andorra,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
11,Hotlink,Angola,Africa,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
12,Hotlink,Angola,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
13,Hotlink,Anguilla,Caribbean,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
