record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
1,Maxis,Afghanistan,South Asia,prepaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
2,Maxis,Afghanistan,South Asia,postpaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
3,Maxis,Albania,Europe,prepaid,3.0,3.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
4,Maxis,Albania,Europe,postpaid,3.6,3.6,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
5,Maxis,Algeria,Africa,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
6,Maxis,Algeria,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
7,Maxis,American Samoa,Oceania,prepaid,0.99,0.99,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
8,Maxis,American Samoa,Oceania,postpaid,6.0,6.0,0.5,IDD 132: RM1.14/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
9,Maxis,Andorra,Europe,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
10,Maxis,Andorra,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
11,Maxis,Angola,Africa,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
12,Maxis,Angola,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
13,Maxis,Anguilla,Caribbean,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
14,Maxis,Anguilla,Caribbean,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
15,Maxis,Antigua And Barbuda,Caribbean,prepaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
16,Maxis,Antigua And Barbuda,Caribbean,postpaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
17,Maxis,Argentina,South America,prepaid,2.39,0.2,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
18,Maxis,Argentina,South America,postpaid,4.8,4.8,0.5,IDD 132 Fixed: RM0.215/min; Mobile: RM0.54/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
19,Maxis,Armenia,Caucasus,prepaid,5.0,5.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
20,Maxis,Armenia,Caucasus,postpaid,6.0,6.0,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
21,Maxis,Aruba,Caribbean,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
