record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
1,Unifi,Albania,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
2,Unifi,Argentina,South America,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
3,Unifi,Australia,Oceania,roaming,3.6,6.0,2.0,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
4,Unifi,Austria,Europe,roaming,4.5,7.9,1.5,,,False,to_other=25.0/min; incoming=3.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
5,Unifi,Bahrain,Middle East,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
6,Unifi,Bangladesh,South Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
7,Unifi,Belarus,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
8,Unifi,Belgium,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
9,Unifi,Bosnia,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
10,Unifi,Brazil,South America,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
11,Unifi,Brunei Darussalam,Southeast Asia,roaming,3.0,12.0,1.0,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
12,Unifi,Bulgaria,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
13,Unifi,Cambodia,Southeast Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
14,Unifi,Canada,North America,roaming,3.5,9.6,1.5,,,False,to_other=25.0/min; incoming=4.8/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
15,Unifi,Chile,South America,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
16,Unifi,China,East Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
17,Unifi,Colombia,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
18,Unifi,Costa Rica,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
19,Unifi,Croatia,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
20,Unifi,Cyprus,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
21,Unifi,Czech Republic,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
22,Unifi,Denmark,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
23,Unifi,DR Congo,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
24,Unifi,Ecuador,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
25,Unifi,El Salvador,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
26,Unifi,Estonia,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
27,Unifi,Fiji,Oceania,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
28,Unifi,Finland,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
29,Unifi,France,Europe,roaming,4.0,7.9,1.5,,,False,to_other=25.0/min; incoming=3.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
30,Unifi,Germany,Europe,roaming,4.5,7.9,1.5,,,False,to_other=25.0/min; incoming=3.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
31,Unifi,Ghana,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
32,Unifi,Gibraltar,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
33,Unifi,Greece,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
34,Unifi,Guam,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
35,Unifi,Guatemala,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
36,Unifi,Guernsey (United Kingdom),Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
37,Unifi,Hong Kong,East Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
38,Unifi,Hungary,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
39,Unifi,Iceland,Europe,roaming,48.0,48.0,7.3,,,False,to_other=48.0/min; incoming=25.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
40,Unifi,India,South Asia,roaming,5.0,15.5,2.0,,,False,to_other=25.0/min; incoming=5.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
41,Unifi,Indonesia,Southeast Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
