Name,Category
Shell Malaysia Trading Sdn Bhd,Corporate office
SRG Asia Pacific Sdn. Bhd.,BPO company
LLC Berhad,Construction company
Kutub Trading Sdn. Bhd.,Wholesaler
VSL Engineers (M) Sdn. Bhd. | VSL Malaysia | Construction company,Construction company
Seng Group of Companies HQ Kuala Lumpur Malaysia,Corporate office
"Kalbe Malaysia Sdn, Bhd",Association / Organization
CA (Malaysia) Sdn. Bhd.,Industrial equipment supplier
Microsoft (Malaysia) Sdn Bhd,Corporate office
BUMI TUNGGAL SERVICES SDN BHD (BTS),Corporate office
"Bumi Subsea Malaysia Sdn Bhd, Kuala Lumpur",Corporate office
In.Corp Global (M) Sdn. Bhd.,Accounting firm
Medini Iskandar Malaysia Sdn Bhd (Satellite Office),Corporate office
Tata Consultancy Services Malaysia Sdn Bhd,Corporate office
KL Ria Industries Sdn. Bhd.,Manufacturer
Crecom Burj Group Sdn Bhd,Manufacturer
Cognizant Sdn Bhd,Computer support and services
Penta-Ocean (Malaysia) Sdn. Bhd.,Construction company
ServiceRocket Sdn Bhd,Software company
Anar Paper Co. Sdn. Bhd.,Paper exporter
Intan Kuala Lumpur Sdn Bhd,
Fenix Sdn. Bhd.,Import & Export Company
Setuan Plantations Sdn Bhd Kuala Lumpur Branch,Corporate office
ADF Technologies Sdn Bhd (KL),Automation company
Nam Thye Seng (KL) Sdn Bhd,Building materials supplier
Genting Sanyen Industrial Paper Sdn Bhd,Paper mill
Saipem (M) Sdn Bhd,Fuel supplier
Jawala Corporation Sdn. Bhd.,Corporate office
PRINT EXPERT SDN BHD (KL),Print shop
Amalinsya Sdn. Bhd. (Kuala Lumpur),Construction company
ARKEMA KUALA LUMPUR OFFICE,Corporate office
Ban Guan Hin (KL) Sdn Bhd,Steel distributor
Perodua Sales Sdn. Bhd. (Kuala Lumpur),Car dealer
Syarikat Maluri Sdn Bhd,Real estate developer
Kuala Lumpur-Malacca Express Sdn Bhd,Transportation service
SAJ Holdings Sdn. Bhd.,Holding company
Reveillon Group Sdn Bhd,Food processing company
Securelution Global (LBS) Sdn Bhd- Kuala Lumpur Digital Smart Lock & Ironmongery Door Hardware Company,Locks supplier
NAGASE (MALAYSIA) SDN. BHD. - (Kuala Lumpur Office),Corporate office
PetroUsaha Sdn.Bhd. @ Kuala Lumpur,Engineer
Kuala Lumpur Collectors Guild Sdn.Bhd (Warehouse),Automobile storage facility
Daewoo (M) Sdn Bhd,Machine Suppliers
VLT Kuala Lumpur Sdn Bhd,Advertising agency
ABC Sdn Bhd,Accounting firm
"Primary Horizon Sdn. Bhd., Kuala Lumpur",Engineering consultant
CSSP Sdn Bhd,Construction company
Broadwater Sdn Bhd,Industrial equipment supplier
PointStar Kuala Lumpur (PS Global Services Sdn Bhd),Consultant
"CONSISTANT INFO SDN. BHD. [Malaysia/Kuala Lumpur Company Incorporation, Registration & Company Secretary]",Business management consultant
Reeracoen Recruitment Agency (Kuala Lumpur Office),Recruiter
Syarikat Perjalanan Terus Sabak Bernam-kuala Lumpur Sdn. Bhd.,Travel agency
AGS Malaysia Sdn. Bhd.,Corporate office
Intellino Tech Sdn Bhd (Kuala Lumpur),Software company
Alter Domus (MM2H) Sdn. Bhd. Kuala Lumpur MM2H Centre of Excellence,Visa consulting service
Kuala Lumpur Metropolitan (M) Sdn. Bhd.,Professional services
MG Motor KL - SING HUAT PREMIUM SDN BHD,Car dealer
KL Maritime (M) Sdn. Bhd.,Shipping company
Temerloh - Kuala Lumpur Express Omnibus Sdn Bhd,Bus station
Serendipity Events Sdn Bhd (KL Office),Event management company
Rupee Enterprise Sdn. Bhd. (Kuala Lumpur),Car dealer
Kuala Lumpur Electric Vehicles Sdn. Bhd.,Store
Crawford & Company Adjusters (Malaysia) Sdn Bhd Kuala Lumpur,Corporate office
Pensera Sdn. Bhd.,Construction company
Sd Associates Sdn Bhd,Consultant
Teijin Kasei Malaysia Sdn. Bhd.,Corporate office
Peremex Sdn Bhd (Kuala Lumpur),Computer support and services
First Allied Sdn Bhd Kuala Lumpur,
Pengurusan Air Selangor Wilayah Kuala Lumpur,Water utility company
Medinis Sdn Bhd,Investment company
BH Network Sdn Bhd @ Kuala Lumpur,Software company
Nks Distributors(KL) Sdn Bhd,Motorcycle shop
OMNI Oil Technologies (M) Sdn Bhd KL,Oil field equipment supplier
Keppel Offshore & Marine Engineering Services Kuala Lumpur Sdn. Bhd.,Corporate office
Syarikat San Tat Sdn Bhd,Textile mill
Phileo Company Sdn Bhd,Distribution service
HOLDINGS SDN BHD,Auto parts store
Hup Lee (Malaysia) Sdn. Bhd.,Manufacturer
Worldview Climate Solutions (Malaysia) Sdn Bhd (Kuala Lumpur Branch),Consultant
Alfaro Exclusive Fashion and Clothing Brand Kuala Lumpur,Clothing store
Astral AI & Software Solutions (M) Sdn Bhd Kuala Lumpur,Software company
Era Edar Marketing Kuala Lumpur Sdn. Bhd.,Health food store
INTELLICOSEC SDN BHD - COMPANY SECRETARY & COMPANY INCORPORATION KUALA LUMPUR & SELANGOR,Business management consultant
Ever Higher Data Recovery Centre Malaysia Sdn Bhd - Kuala Lumpur,Data recovery service
Espirit Management Service (KL) Sdn. Bhd.,Business management consultant
EXPAT SERVICES (KUALA LUMPUR) SDN BHD,Business administration service
ATS Oilfield Supply & Services Sdn Bhd (Kuala Lumpur),Oil field equipment supplier
Comrel Technologies Sdn Bhd (Kuala Lumpur),Equipment supplier
Trimble Solutions Malaysia Sdn Bhd,Software company
"Spider Asia Sdn Bhd - App Development Company Malaysia, Kuala Lumpur, Petaling Jaya",Software company
TPO LOGISTIC (KL) SDN BHD,Warehouse
Kuala Lumpur Environmental Technologies Sdn Bhd,Pipe supplier
KONE Elevator (M) Sdn Bhd - Kuala Lumpur,Elevator service
Oceancare Corporation Sdn Bhd (Kuala Lumpur Project Office & Laboratory),Laboratory
OUS PRIMA (M) SDN BHD KUALA LUMPUR,Wholesaler
Chroma Furnishing Sdn Bhd (Kuala Lumpur),Building materials supplier
PPP Transport Management (M) Sdn Bhd,Transportation service
CLPC Group / CLPC Advisors Sdn Bhd / CL Pang & Co,Business management consultant
Crowe Malaysia PLT,Accounting firm
Jialian Enterprise Development (Malaysia) Sdn. Bhd.,Wholesaler
Dongfeng Kuala Lumpur - Prominent Motor Sdn Bhd,Car dealer
Nu Skin (Malaysia) Sdn. Bhd. @ Kuala Lumpur Experience Center,Health and beauty shop
