Name,Category
Satujaya Sdn. Bhd.,Construction company
Damini Corporation Sdn. Bhd.,Chemical industry
Global Enterprise International (M) Sdn. Bhd.,Corporate office
Sektor Distributors Sdn Bhd,Distribution service
SLS Bolts & Nuts (M) Sdn Bhd - Petaling Jaya,Fastener supplier
BBSB Holdings Sdn. Bhd.,Road construction company
CSM Corporation Bhd,Food products supplier
Consolidated Engineering Sdn Bhd (Petaling Jaya),Mechanical engineer
Sankyu (Malaysia) Sdn. Bhd.,Logistics service
Century Software (Malaysia) Sdn Bhd,Software company
Evertrade Sdn Bhd,Pharmaceutical company
Paramount Corporation Berhad,Real estate developer
Shal Corporation Sdn. Bhd. (Petaling Jaya),Company
SMC MALAYSIA SDN BHD,Manufacturer
Spring Energy Sdn Bhd,Quarry
Ganesha Sdn. Bhd.,Construction company
Arab-Malaysian Corporation Builders Sdn Bhd,Construction company
Sun Cycle Sdn Bhd (PJ) Service Centre,Computer hardware manufacturer
Berjaya CKE Enterprise Sdn. Bhd. (Petaling Jaya),Equipment supplier
Scientex Engineering & Trading Sdn. Bhd. ( PJ Branch ),Importer
"Eagle Secure Tech Sdn Bhd (Kota Damansara, Petaling Jaya)",Locks supplier
SMI Corporate Services Sdn. Bhd.,Business management consultant
GST Hardware (PJ) Sdn. Bhd.,Hardware store
Forest Point Sdn Bhd,Construction company
Aps Jaya Sdn. Bhd.,Construction company
Karcher Store PJ by CT Hardware Sdn Bhd,Cleaning products supplier
Aurecon Lestari Sdn Bhd – Petaling Jaya,Environmental consultant
Top United Pacific Group Sdn Bhd (Petaling Jaya Branch),Financial consultant
Portal Frame Construction Sdn Bhd (PJ OFFICE),Construction company
Instant Option Resources Sdn Bhd,Construction company
Top Idea Sdn. Bhd. - Petaling Jaya,Bathroom supply store
Cognex Malaysia (PJ),Automation company
Bioserasi Sendirian Berhad (Petaling Jaya),Contractor
IONMAN SDS (M) SDN BHD - HQ PJ,Store
Perkasa Sumber Jaya Sdn. Bhd.,Employment consultant
Continental Tyre (PJ) Malaysia Sdn. Bhd.,Tyre manufacturer
