Name,Category
S.E.H. (Shah Alam) Sdn Bhd,Manufacturer
Seon Lim (M) Sdn Bhd - Shah Alam,Wholesaler
Sonoco Products (Malaysia) Sdn Bhd - Shah Alam,Packaging company
Daftar Syarikat Sdn Bhd Online ( Daftar Sdn Bhd),Business to business service
Nestle Shah Alam,Food manufacturer
Toyota Assembly Services Sdn. Bhd. Shah Alam Plant,Manufacturer
Nus Enterprise (M) Sdn Bhd,Construction company
Prosignal Engineering Sdn. Bhd.,Electrical installation service
Public Packages (Shah Alam) Sdn. Bhd.,Industrial consultant
DKSH Malaysia Sdn Bhd - Shah Alam,Warehouse
Setia Corporation (M) Sdn Bhd,Lodge
EmiQuest (M) Sdn Bhd (Shah Alam),Business to business service
JJ Asia Manufacturing (M) Sdn Bhd,Manufacturer
DCH Contract Manufacturing Sdn Bhd,Manufacturer
PANMATEX TRADING SDN BHD( SHAH ALAM),
KHULAFA SUCCESS INTEGRATED SDN BHD SHAH ALAM,Manufacturer
Xin Hwa Trading & Transport Sdn. Bhd. • Shah Alam,Logistics service
AZAM CORPORATE SERVICES SDN. BHD.,Business management consultant
KW COATING (SHAH ALAM) SDN BHD,Paint manufacturer
Scientex Packaging Film Sdn Bhd (Shah Alam Robotic Plant),Manufacturer
G-MART CORPORATION SDN. BHD. - SUBANG (AUCTION HOUSE & STOREYARD),Auction house
Public Packages (Shah Alam) Sdn Bhd,Packaging company
Iwatani Malaysia Sdn Bhd - Shah Alam Gas Center,Warehouse
MS Time Sdn Bhd (shah alam),Manufacturer
(HINO) Soon Heng Motor & Commercial Truck Sdn Bhd | Shah Alam,DS Automobiles dealer
Majulia Sdn Bhd,Construction company
BM BUILDTRADE,Corporate office
(Pawnzon) Pajak Gadai Pinggiran Subang Sdn Bhd - Shah Alam,Pawn shop
FLE (M) Sdn. Bhd. (Shah Alam Branch),Warehouse
Yash Enterprise (M) Sdn. Bhd.,Building materials supplier
Sri Dayaa Manufacturing Sdn. Bhd.,Manufacturer
Shah Alam Engineering Hardware Sdn. Bhd.,Hardware store
manufacturing,
SS Knowledge (M) Sdn. Bhd.,Printer repair service
Selgate Corporation Sdn Bhd,Corporate office
PPC International Sdn. Bhd. Shah Alam,Corporate office
Kian Joo Canpack (Shah Alam) Sdn Bhd,Packaging company
ASKCO SDN. BHD.,Corporate office
TAIYOSHOJI MALAYSIA SDN. BHD.,Corporate office
"GarGeon Sdn Bhd - Shah Alam, Wisma Sunway",Waste management service
HIN LOONG MOTOR SDN BHD (SHAH ALAM),Repair service
Tuatu Resources Sdn. Bhd.,Sewing company
Print Expert Seksyen 2 Shah Alam (HQ),Print shop
LTC PARTS SDN BHD SHAH ALAM,Air conditioning system supplier
Target Resources Sdn Bhd,Construction company
Legostone Sdn Bhd (Shah Alam),
MB2H World Sdn Bhd,Corporate office
Azmi & Co (Shah Alam) Sdn. Bhd.,Real estate agency
Winning Paramount Sdn. Bhd. Shah Alam 2 Logistics Hub,
Sazean Development Sdn. Bhd.,Real estate developer
QUBA ENGINEERING SDN BHD,Electrical engineer
NSC Globaltech sdn bhd,Software company
ST Rosyam Mart (Shah Alam) Sdn Bhd (13101133-A),Supermarket
Stronga Worldtrade Sdn Bhd,Corporate office
IS Barakah Bina Sdn Bhd,Construction company
Iron Mountain Malaysia (Iron Mountain Sdn. Bhd.) Shah Alam Facility,Storage facility
YOSIN SPORTS HOUSE SDN BHD (Shah Alam),Sportswear store
QES Group of Companies,Industrial equipment supplier
Burnmark Industries Sdn Bhd (Shah Alam),Tool & die shop
Ochek Auto Services Sdn. Bhd.,Car repair and maintenance service
Jaya Pelita Pharma (M) Sdn Bhd,Pharmaceutical company
Fusion Beat Sdn Bhd,Corporate office
Seimei Engineering Malaysia Sdn Bhd,Air conditioning contractor
Inovar Resources Sdn Bhd - Shah Alam Branch,Flooring store
Ids Manufacturing Sdn Bhd,Manufacturer
WVH GROUP SDN BHD,Accountant
United Seasons Sdn Bhd (Office),Manufacturer
Delima Oil Products Sdn. Bhd. (Shah Alam DC),Warehouse
QCPLUS SDN. BHD. (SHAH ALAM),Egg supplier
Samsung | ÆON Mall | Shah Alam,Electronics company
MSM DIVERSITY SDN BHD,Construction company
AIDA ENGINEERING (M) SDN BHD (Shah Alam),Manufacturer
DMA SUPPLY & SERVICES SDN BHD,Corporate office
Masyitah Flour Mills Sdn Bhd (Shah Alam),Flour mill
Tarsoft Sdn Bhd,Software company
IQI Realty Sdn Bhd (Shah Alam Branch),Property management company
Sailion Shipping Sdn Bhd- Shah Alam,Shipping service
LTS Fleet Management (M) Sdn. Bhd. Shah Alam,
Safepro Equipment Sdn Bhd - Shah Alam,Store
Smart Reliance Sdn Bhd,Construction company
JAC Motors Shah Alam - NEWSTAR SDN BHD,Truck dealer
Azimuth Energy Sdn Bhd (Shah Alam Office),Energy equipment and solutions
Obiz Corporation Sdn Bhd,
Maltecon Marketing Sdn Bhd,Corporate office
MSO Corporation Sdn Bhd,Real estate developer
Rapid Bus Sdn Bhd (Shah Alam Depot),Bus stop
TTES Frontken Integrated Services Sdn. Bhd. (Shah Alam Service Centre),Pump supplier
Empayar Emas YL Sdn. Bhd. Shah Alam Branch,Jewelry buyer
TS Group Holdings Sdn. Bhd.,Advertising agency
Vivahomes Realty Sdn. Bhd. (shah alam branch),Corporate office
Pharmaserv Alliances Sdn. Bhd.,Pharmaceutical company
EUROSAFE MALAYSIA SDN. BHD.,Fire protection equipment supplier
J&Y SAFETY (M) Sdn Bhd,Safety equipment supplier
Pasaraya Yang Yang Wholesale And Retail Sdn Bhd @ Subang Perdana Shah Alam,Clothing store
IM Global Property Consultants Sdn Bhd (Shah Alam),Real estate consultant
Hubergroup Malaysia Sdn Bhd,Corporate office
SL CYBERSEC SOLUTIONS SDN BHD,Corporate office
RUPOM COLLECTION EMPIRE SDN BHD (shah alam),Garment exporter
Zuri Services Sdn Bhd - Shah Alam Branch,Debt collection agency
DFT Solutions Sdn. Bhd.,Computer store
Honda Shah Alam 3S Center - Shared Auto Cars Sdn Bhd,Honda dealer
Sri MS Group of Companies,Money transfer service
AntaraDuit Agensi Sdn Bhd (My Money Changer),Currency exchange service
"HLK (Chain-Store) Sdn. Bhd. - Shah Alam, Seksyen 23",Appliance store
Aftacop Sdn Bhd,Corporate office
3M Autofilm Shah Alam (B1 Technologies Sdn. Bhd.),Window tinting service
YS Group Resources,Manufacturer
Simonix Digital Labs Sdn Bhd,Automation company
Achiever Lighting Sdn. Bhd.(SHAHALAM),Lighting store
NKMH MEDIA SDN BHD,Advertising agency
Nuun Consultant Sdn Bhd,Training center
Chear Motor (Shah Alam) Sdn Bhd,Motorcycle shop
UMW Toyotsu Motors Sdn Bhd,Toyota dealer
LEGACY REAL PROPERTY S/B (SHAH ALAM),Real estate agency
UMW Toyotsu Motors Sdn Bhd - Body & Paint (Shah Alam Outlet),Toyota dealer
AIMAN PLATINUM SDN BHD,General contractor
