Name,Category
MCL Bhd (Subang Jaya),Computer hardware manufacturer
Boilermech - Office Tower | Subang Industry • Boilermech Sdn Bhd,Corporate office
Cameron (M) Sdn. Bhd.,Oil & natural gas company
Mega United Lighting & Electric Sdn Bhd (Subang Jaya),Lighting manufacturer
Socma Trading (M) Sdn. Bhd.,Food products supplier
IGC-Industrial Galvanizers Corporation (M) Sdn. Bhd.,Metallurgy company
Chop Tong Guan Sdn Bhd (Subang Jaya Branch),Fruits wholesaler
"Würth Industry Malaysia - Fasteners, Bolts and Nuts Supplier",Fastener supplier
Topmix Products Sdn Bhd,Corporate office
Integrated Logistics Solutions Sdn Bhd,Corporate office
SNT Global Logistics Sdn Bhd (HQ),Logistics service
Terra Advance Sdn Bhd,Construction company
Subang Safety Glass Sdn Bhd,Safety equipment supplier
GV Industries Sdn. Bhd.,Manufacturer
Kruvent Industries (M) Sdn. Bhd.,Industrial equipment supplier
Steel Recon Industries Sdn Bhd,Fire protection equipment supplier
SnT Global Logistics Sdn Bhd,Logistics service
Wipro Unza (M) Sdn. Bhd.,Corporate office
Minsec Engineering Sdn Bhd USJ,Construction company
Texchem Corporation Sdn Bhd (KL),Corporate office
Thrive Trio (M) Sdn Bhd,Distribution service
SERVEX (MALAYSIA) SDN BHD,Computer store
Wintech Dynamic Sdn. Bhd.,Construction company
JF Home Appliances Sdn Bhd,Countertop store
Dacing Trading Sdn Bhd subang,Scrap metal dealer
MAXIPURA SDN BHD - SUBANG,Motor vehicle dealer
Alfano Sdn Bhd,Chemical industry
Ken Integrated Packagers Sdn Bhd,Packaging company
Tong Woh Enterprise Sdn Bhd (HQ),Wholesaler
Altec Industrial & Engineering Supply Sdn. Bhd.,Equipment supplier
Hardware Town Sdn Bhd • Subang 五金,Hardware store
First Food Distribution (M) Sdn Bhd,Food products supplier
S. Kian Seng Sdn Bhd,Furniture manufacturer
New Era Warehousing Services,Warehouse
Health Paradise Sdn Bhd,Food products supplier
Zio-Alloy Sdn. Bhd.,Construction company
Cidar Engineering Sdn. Bhd.,
Wellform Sj (M) Sdn. Bhd.,
Fuji Hardware Sdn Bhd,Hardware store
Henikwon Corporation Sdn. Bhd.,Manufacturer
Sumber Engineering Trading (M) Sdn. Bhd.,Air Compressor Company
KSB Malaysia Pumps & Valves Sdn Bhd (Subang Branch),Water pump supplier
Syarikat Letrik Chen Guan Sdn. Bhd.,Electric utility company
Macrolink Express (M) Sdn Bhd,Logistics service
Empico Coating Sdn Bhd,Powder coating service
Kilang Makanan Mamee Sdn Bhd (Subang),
Unity Kitchen (KL) Sdn Bhd - Subang Showroom,Cabinet maker
Vertex Services Sdn Bhd,Flooring store
BILAL SDN BHD,Renovation Contractor
Svenson Hair Centre - Subang Jaya,Hair replacement service
Gerhardt Malaysia Sdn Bhd,Biotechnology company
Bigledger Sdn Bhd,Software company
Uniplaster Marketing Sdn. Bhd. (Subang branch),Gypsum product supplier
Oriental Techno Chemicals Sdn Bhd,Chemical industry
Solaris Sdn Bhd,Website designer
Daewoo Electronics Sales & Services (M) Sdn Bhd -(DAEMA),Electronics company
LTH Machinery (M) Sdn. Bhd.,Sheet metal contractor
ATS Air Solutions (M) Sdn. Bhd.,Corporate office
Kooka Paper Manufacturing Sdn Bhd,Paper mill
TS. Precision Technology (M) Sdn. Bhd.,Engineering consultant
Amcor Flexibles Asia Pacific Malaysia (Bemis Asia Pacific Sdn Bhd - A subsidiary of Amcor Plc),Manufacturer
KL Empire Hotel USJ,
Kostec NDT Consultancy Sdn Bhd,Engineering consultant
Asagro Sdn. Bhd.,Holding company
Lekor Bites Malaysia Sdn Bhd,Food manufacturer
CMRS Sdn Bhd,Telecommunications contractor
Airocoat Engineering Sdn. Bhd.,Machine Suppliers
Pembinaan Daya Teguh Sdn. Bhd.,Contractor
Ofiskita Sdn Bhd,Office supply store
Sun Moulding Sdn. Bhd.,Mold maker
UTC Engineering Sdn. Bhd.,Engineer
Nikkiso Clean Energy & Industrial Gases (SEA) Sdn. Bhd.,Energy equipment and solutions
ULD Logistics & Distribution Sdn. Bhd.,Warehouse
Sylog Print System Sdn Bhd,Printing
Seebuu Logistics Sdn Bhd,Warehouse
Wellgate Sdn Bhd,Corporate office
Ecobio Pack Sdn Bhd,Manufacturer
CMS Cars Express Sdn Bhd,Auto repair shop
SPS Motor Workshop Sdn Bhd,Auto repair shop
VME Broadcast Sdn Bhd,Camera store
Zhulian Marketing (M) Sdn Bhd@Subang Jaya Agency (SJA),Company
Asia Tents Arena Sdn Bhd,Tent rental service
Eversafe Extinguisher Sdn Bhd,Fire extinguisher
Flamingo Point Sdn Bhd,Business management consultant
MMFG COMPOSITES SDN. BHD,Fibreglass Company
Tenera Engineering Sdn Bhd,Metal fabricator
